claim_id,policy_id,customer_id,country,state,claim_date,claim_type,loss_cause,claim_status,estimated_loss,deductible,coverage_limit,coverage_valid,severity_score,fraud_risk_score,adjuster_id
CLM00001,POL00038,CUST00038,Australia,WA,3/1/2026,Comprehensive,Vandalism,Under Review,5221.44,1500,50000,False,19,43,ADJ006
CLM00002,POL00102,CUST00102,UK,England,12/12/2025,Property Damage,Vandalism,Paid,26549.91,1000,250000,False,98,100,ADJ001
CLM00003,POL00061,CUST00061,USA,TX,4/18/2026,Property Damage,Theft,Approved,9607.5,1500,25000,False,40,82,ADJ003
CLM00004,POL00059,CUST00059,USA,GA,12/27/2025,Collision,Theft,Under Review,13968.48,1000,25000,True,47,48,ADJ011
CLM00005,POL00030,CUST00030,Australia,QLD,4/16/2026,Collision,Vandalism,Denied,15581.73,1500,100000,False,65,81,ADJ008
CLM00006,POL00014,CUST00014,USA,NY,12/10/2025,Comprehensive,Vandalism,Under Review,14662.15,500,100000,True,52,8,ADJ005
CLM00007,POL00114,CUST00114,Australia,VIC,4/9/2026,Bodily Injury,Parking lot damage,Closed,3216.63,1000,250000,False,15,18,ADJ007
CLM00008,POL00080,CUST00080,Australia,QLD,1/13/2026,Property Damage,Theft,Approved,18586.81,1500,100000,True,72,48,ADJ007
CLM00009,POL00070,CUST00070,Australia,TAS,1/26/2026,Property Damage,Theft,Paid,20607.76,1000,250000,True,69,96,ADJ006
CLM00010,POL00007,CUST00007,USA,FL,4/19/2026,Bodily Injury,Theft,New,20592.6,250,100000,False,77,57,ADJ005
CLM00011,POL00049,CUST00049,UK,Wales,4/15/2026,Comprehensive,Theft,Closed,9824.28,250,50000,False,44,24,ADJ004
CLM00012,POL00061,CUST00061,USA,TX,12/13/2025,Property Damage,Parking lot damage,Denied,10357.94,1500,25000,False,38,93,ADJ002
CLM00013,POL00101,CUST00101,Australia,NSW,11/15/2025,Property Damage,Hail damage,Approved,1283.24,250,25000,True,13,24,ADJ008
CLM00014,POL00004,CUST00004,USA,TX,2/7/2026,Property Damage,Side collision,Under Review,29999.32,1500,25000,False,100,27,ADJ005
CLM00015,POL00055,CUST00055,USA,NY,12/18/2025,Collision,Hail damage,Paid,26384.49,1500,250000,False,91,97,ADJ002
CLM00016,POL00027,CUST00027,Australia,SA,3/20/2026,Comprehensive,Vandalism,Paid,2028.0,500,50000,False,17,99,ADJ007
CLM00017,POL00120,CUST00120,UK,England,11/30/2025,Bodily Injury,Vandalism,Paid,23676.16,1000,50000,False,85,91,ADJ001
CLM00018,POL00070,CUST00070,Australia,TAS,3/17/2026,Bodily Injury,Theft,Paid,17434.77,1000,250000,True,72,60,ADJ008
CLM00019,POL00060,CUST00060,UK,Scotland,1/28/2026,Property Damage,Theft,Closed,24644.07,1000,250000,False,86,58,ADJ012
CLM00020,POL00051,CUST00051,USA,TX,12/15/2025,Collision,Rear-end accident,Paid,15840.35,1000,25000,True,55,37,ADJ003
CLM00021,POL00118,CUST00118,USA,GA,3/25/2026,Bodily Injury,Vandalism,Approved,15765.57,250,250000,False,65,24,ADJ011
CLM00022,POL00034,CUST00034,USA,NY,2/5/2026,Collision,Vandalism,Approved,12346.28,1500,25000,True,52,31,ADJ010
CLM00023,POL00010,CUST00010,Australia,TAS,4/15/2026,Bodily Injury,Hail damage,Under Review,10071.53,250,50000,False,36,100,ADJ007
CLM00024,POL00089,CUST00089,UK,Wales,3/31/2026,Collision,Side collision,Under Review,25020.53,1500,50000,False,87,100,ADJ012
CLM00025,POL00024,CUST00024,Australia,QLD,5/4/2026,Collision,Rear-end accident,New,7057.9,250,25000,False,27,89,ADJ006
CLM00026,POL00064,CUST00064,UK,England,2/21/2026,Comprehensive,Side collision,Under Review,2146.67,250,250000,True,20,82,ADJ001
CLM00027,POL00103,CUST00103,Australia,WA,1/8/2026,Collision,Side collision,New,27225.55,250,25000,True,90,94,ADJ008
CLM00028,POL00080,CUST00080,Australia,QLD,3/5/2026,Comprehensive,Side collision,Under Review,795.76,1500,100000,True,13,31,ADJ008
CLM00029,POL00002,CUST00002,Australia,NSW,1/19/2026,Comprehensive,Side collision,Paid,3254.21,1500,250000,True,21,9,ADJ006
CLM00030,POL00030,CUST00030,Australia,QLD,12/17/2025,Collision,Parking lot damage,Under Review,14501.45,1500,100000,False,60,61,ADJ007
CLM00031,POL00010,CUST00010,Australia,TAS,5/1/2026,Bodily Injury,Hail damage,Paid,10835.47,250,50000,False,39,100,ADJ007
CLM00032,POL00009,CUST00009,USA,FL,4/24/2026,Bodily Injury,Parking lot damage,Approved,24545.13,1500,50000,False,86,100,ADJ010
CLM00033,POL00032,CUST00032,Australia,SA,1/3/2026,Comprehensive,Theft,Paid,2595.69,500,100000,True,22,5,ADJ007
CLM00034,POL00090,CUST00090,Australia,SA,3/15/2026,Collision,Side collision,Paid,26659.37,1000,100000,False,98,70,ADJ007
