document_id,claim_id,document_type,uploaded_date,file_name
DOC00001,CLM00001,Police Report,3/15/2026,CLM00001_5305.pdf
DOC00002,CLM00001,Repair Estimate,3/3/2026,CLM00001_8193.pdf
DOC00003,CLM00002,Damage Photos,12/18/2025,CLM00002_6744.pdf
DOC00004,CLM00003,Customer Statement,5/8/2026,CLM00003_8015.pdf
DOC00005,CLM00003,Damage Photos,5/7/2026,CLM00003_3281.pdf
DOC00006,CLM00003,Damage Photos,4/24/2026,CLM00003_1972.pdf
DOC00007,CLM00004,Repair Estimate,1/13/2026,CLM00004_5605.pdf
DOC00008,CLM00004,Customer Statement,1/13/2026,CLM00004_3758.pdf
DOC00009,CLM00004,Repair Estimate,1/5/2026,CLM00004_5740.pdf
DOC00010,CLM00005,Repair Estimate,5/2/2026,CLM00005_2560.pdf
DOC00011,CLM00005,Damage Photos,4/29/2026,CLM00005_1971.pdf
DOC00012,CLM00005,Repair Estimate,5/6/2026,CLM00005_3078.pdf
DOC00013,CLM00006,Damage Photos,12/17/2025,CLM00006_3396.pdf
DOC00014,CLM00006,Repair Estimate,12/17/2025,CLM00006_7434.pdf
DOC00015,CLM00006,Medical Bill,12/14/2025,CLM00006_5402.pdf
DOC00016,CLM00007,Medical Bill,4/21/2026,CLM00007_8405.pdf
DOC00017,CLM00007,Police Report,4/29/2026,CLM00007_2525.pdf
DOC00018,CLM00007,Medical Bill,4/25/2026,CLM00007_5558.pdf
DOC00019,CLM00008,Repair Estimate,1/27/2026,CLM00008_8996.pdf
DOC00020,CLM00008,Repair Estimate,1/31/2026,CLM00008_1040.pdf
DOC00021,CLM00008,Police Report,1/27/2026,CLM00008_6869.pdf
DOC00022,CLM00009,Customer Statement,2/7/2026,CLM00009_4568.pdf
DOC00023,CLM00010,Damage Photos,5/4/2026,CLM00010_5399.pdf
DOC00024,CLM00010,Repair Estimate,4/28/2026,CLM00010_6533.pdf
DOC00025,CLM00011,Customer Statement,4/19/2026,CLM00011_8951.pdf
DOC00026,CLM00011,Repair Estimate,4/16/2026,CLM00011_1752.pdf
DOC00027,CLM00011,Police Report,5/5/2026,CLM00011_8529.pdf
DOC00028,CLM00012,Police Report,12/18/2025,CLM00012_8230.pdf
DOC00029,CLM00013,Police Report,11/28/2025,CLM00013_4314.pdf
DOC00030,CLM00013,Damage Photos,12/5/2025,CLM00013_5945.pdf
DOC00031,CLM00014,Repair Estimate,2/9/2026,CLM00014_6905.pdf
DOC00032,CLM00015,Police Report,12/29/2025,CLM00015_3711.pdf
DOC00033,CLM00015,Police Report,12/30/2025,CLM00015_6005.pdf
DOC00034,CLM00016,Damage Photos,4/2/2026,CLM00016_2494.pdf
DOC00035,CLM00016,Police Report,3/20/2026,CLM00016_4496.pdf
DOC00036,CLM00016,Medical Bill,3/22/2026,CLM00016_3174.pdf
DOC00037,CLM00017,Damage Photos,12/16/2025,CLM00017_8291.pdf
DOC00038,CLM00017,Police Report,11/30/2025,CLM00017_6629.pdf
DOC00039,CLM00017,Police Report,12/13/2025,CLM00017_3165.pdf
DOC00040,CLM00018,Police Report,3/24/2026,CLM00018_7276.pdf
DOC00041,CLM00018,Police Report,3/20/2026,CLM00018_2690.pdf
DOC00042,CLM00019,Repair Estimate,2/6/2026,CLM00019_3246.pdf
DOC00043,CLM00019,Medical Bill,2/1/2026,CLM00019_3340.pdf
DOC00044,CLM00020,Customer Statement,1/2/2026,CLM00020_1138.pdf
DOC00045,CLM00021,Damage Photos,4/8/2026,CLM00021_6753.pdf
DOC00046,CLM00021,Damage Photos,4/14/2026,CLM00021_3480.pdf
DOC00047,CLM00021,Medical Bill,4/13/2026,CLM00021_8248.pdf
DOC00048,CLM00022,Police Report,2/8/2026,CLM00022_3293.pdf
DOC00049,CLM00023,Customer Statement,4/27/2026,CLM00023_6759.pdf
DOC00050,CLM00024,Repair Estimate,4/4/2026,CLM00024_5059.pdf
DOC00051,CLM00024,Repair Estimate,4/20/2026,CLM00024_2380.pdf
DOC00052,CLM00025,Customer Statement,5/23/2026,CLM00025_5668.pdf
DOC00053,CLM00026,Police Report,3/2/2026,CLM00026_4366.pdf
DOC00054,CLM00026,Customer Statement,3/12/2026,CLM00026_9348.pdf
DOC00055,CLM00026,Damage Photos,3/5/2026,CLM00026_5842.pdf
DOC00056,CLM00027,Police Report,1/15/2026,CLM00027_9108.pdf
DOC00057,CLM00027,Medical Bill,1/11/2026,CLM00027_4949.pdf
DOC00058,CLM00027,Medical Bill,1/28/2026,CLM00027_2163.pdf
DOC00059,CLM00028,Police Report,3/16/2026,CLM00028_6185.pdf
DOC00060,CLM00028,Damage Photos,3/17/2026,CLM00028_7895.pdf
DOC00061,CLM00028,Repair Estimate,3/22/2026,CLM00028_3830.pdf
DOC00062,CLM00029,Police Report,1/19/2026,CLM00029_2106.pdf
DOC00063,CLM00029,Police Report,1/27/2026,CLM00029_4534.pdf
DOC00064,CLM00030,Police Report,12/29/2025,CLM00030_9300.pdf
DOC00065,CLM00031,Customer Statement,5/14/2026,CLM00031_7939.pdf
DOC00066,CLM00031,Medical Bill,5/3/2026,CLM00031_9791.pdf
DOC00067,CLM00032,Customer Statement,4/28/2026,CLM00032_5546.pdf
DOC00068,CLM00032,Police Report,5/3/2026,CLM00032_2294.pdf
DOC00069,CLM00032,Customer Statement,4/30/2026,CLM00032_3545.pdf
DOC00070,CLM00033,Repair Estimate,1/15/2026,CLM00033_2083.pdf
DOC00071,CLM00033,Repair Estimate,1/16/2026,CLM00033_4909.pdf
DOC00072,CLM00033,Police Report,1/10/2026,CLM00033_2412.pdf
DOC00073,CLM00034,Police Report,3/29/2026,CLM00034_1901.pdf
