note_id,claim_id,adjuster_id,note_date,note_text
NOTE00001,CLM00001,ADJ006,3/26/2026,Potential fraud indicator reviewed.
NOTE00002,CLM00001,ADJ006,3/13/2026,Potential fraud indicator reviewed.
NOTE00003,CLM00002,ADJ001,1/9/2026,Potential fraud indicator reviewed.
NOTE00004,CLM00002,ADJ001,12/25/2025,Customer contacted for additional information.
NOTE00005,CLM00002,ADJ001,1/3/2026,Photos and damage details reviewed.
NOTE00006,CLM00002,ADJ001,1/2/2026,Claim moved to next review stage.
NOTE00007,CLM00003,ADJ003,4/24/2026,Potential fraud indicator reviewed.
NOTE00008,CLM00004,ADJ011,1/20/2026,Coverage verification completed.
NOTE00009,CLM00004,ADJ011,1/23/2026,Claim opened and initial review started.
NOTE00010,CLM00005,ADJ008,4/26/2026,Payment recommendation prepared.
NOTE00011,CLM00006,ADJ005,12/28/2025,Potential fraud indicator reviewed.
NOTE00012,CLM00006,ADJ005,1/6/2026,Coverage verification completed.
NOTE00013,CLM00006,ADJ005,12/18/2025,Payment recommendation prepared.
NOTE00014,CLM00006,ADJ005,12/22/2025,Photos and damage details reviewed.
NOTE00015,CLM00007,ADJ007,4/16/2026,Customer contacted for additional information.
NOTE00016,CLM00007,ADJ007,4/11/2026,Potential fraud indicator reviewed.
NOTE00017,CLM00007,ADJ007,4/29/2026,Claim opened and initial review started.
NOTE00018,CLM00008,ADJ007,1/20/2026,Customer contacted for additional information.
NOTE00019,CLM00008,ADJ007,1/17/2026,Claim opened and initial review started.
NOTE00020,CLM00009,ADJ006,2/15/2026,Claim opened and initial review started.
NOTE00021,CLM00009,ADJ006,2/3/2026,Claim opened and initial review started.
NOTE00022,CLM00009,ADJ006,2/8/2026,Payment recommendation prepared.
NOTE00023,CLM00009,ADJ006,2/3/2026,Coverage verification completed.
NOTE00024,CLM00010,ADJ005,4/24/2026,Adjuster requested supporting documents.
NOTE00025,CLM00011,ADJ004,5/12/2026,Claim moved to next review stage.
NOTE00026,CLM00011,ADJ004,5/4/2026,Claim moved to next review stage.
NOTE00027,CLM00012,ADJ002,12/23/2025,Photos and damage details reviewed.
NOTE00028,CLM00012,ADJ002,1/4/2026,Coverage verification completed.
NOTE00029,CLM00013,ADJ008,11/25/2025,Adjuster requested supporting documents.
NOTE00030,CLM00013,ADJ008,11/17/2025,Photos and damage details reviewed.
NOTE00031,CLM00013,ADJ008,12/6/2025,Potential fraud indicator reviewed.
NOTE00032,CLM00013,ADJ008,12/3/2025,Payment recommendation prepared.
NOTE00033,CLM00014,ADJ005,2/19/2026,Potential fraud indicator reviewed.
NOTE00034,CLM00015,ADJ002,1/10/2026,Potential fraud indicator reviewed.
NOTE00035,CLM00015,ADJ002,1/1/2026,Photos and damage details reviewed.
NOTE00036,CLM00015,ADJ002,12/28/2025,Potential fraud indicator reviewed.
NOTE00037,CLM00016,ADJ007,4/14/2026,Payment recommendation prepared.
NOTE00038,CLM00016,ADJ007,3/28/2026,Coverage verification completed.
NOTE00039,CLM00017,ADJ001,12/28/2025,Photos and damage details reviewed.
NOTE00040,CLM00017,ADJ001,12/26/2025,Payment recommendation prepared.
NOTE00041,CLM00017,ADJ001,12/30/2025,Claim opened and initial review started.
NOTE00042,CLM00018,ADJ008,3/31/2026,Photos and damage details reviewed.
NOTE00043,CLM00018,ADJ008,3/30/2026,Coverage verification completed.
NOTE00044,CLM00018,ADJ008,3/26/2026,Coverage verification completed.
NOTE00045,CLM00018,ADJ008,3/28/2026,Customer contacted for additional information.
NOTE00046,CLM00019,ADJ012,2/25/2026,Claim moved to next review stage.
NOTE00047,CLM00019,ADJ012,1/31/2026,Coverage verification completed.
NOTE00048,CLM00019,ADJ012,1/30/2026,Adjuster requested supporting documents.
NOTE00049,CLM00019,ADJ012,2/10/2026,Claim opened and initial review started.
NOTE00050,CLM00020,ADJ003,12/22/2025,Coverage verification completed.
NOTE00051,CLM00021,ADJ011,4/1/2026,Claim moved to next review stage.
NOTE00052,CLM00021,ADJ011,4/4/2026,Claim opened and initial review started.
NOTE00053,CLM00021,ADJ011,4/1/2026,Coverage verification completed.
NOTE00054,CLM00021,ADJ011,4/18/2026,Customer contacted for additional information.
NOTE00055,CLM00022,ADJ010,3/7/2026,Coverage verification completed.
NOTE00056,CLM00022,ADJ010,2/28/2026,Coverage verification completed.
NOTE00057,CLM00022,ADJ010,2/18/2026,Coverage verification completed.
NOTE00058,CLM00022,ADJ010,2/23/2026,Claim moved to next review stage.
NOTE00059,CLM00023,ADJ007,4/28/2026,Payment recommendation prepared.
NOTE00060,CLM00023,ADJ007,5/3/2026,Claim moved to next review stage.
NOTE00061,CLM00023,ADJ007,4/25/2026,Adjuster requested supporting documents.
NOTE00062,CLM00024,ADJ012,4/17/2026,Payment recommendation prepared.
NOTE00063,CLM00024,ADJ012,4/15/2026,Customer contacted for additional information.
NOTE00064,CLM00024,ADJ012,4/26/2026,Payment recommendation prepared.
NOTE00065,CLM00025,ADJ006,6/3/2026,Coverage verification completed.
NOTE00066,CLM00025,ADJ006,5/16/2026,Claim moved to next review stage.
NOTE00067,CLM00025,ADJ006,5/18/2026,Claim opened and initial review started.
NOTE00068,CLM00026,ADJ001,3/17/2026,Photos and damage details reviewed.
NOTE00069,CLM00026,ADJ001,2/22/2026,Adjuster requested supporting documents.
NOTE00070,CLM00027,ADJ008,1/18/2026,Photos and damage details reviewed.
NOTE00071,CLM00027,ADJ008,1/15/2026,Claim moved to next review stage.
NOTE00072,CLM00027,ADJ008,1/16/2026,Potential fraud indicator reviewed.
NOTE00073,CLM00027,ADJ008,1/27/2026,Coverage verification completed.
NOTE00074,CLM00028,ADJ008,3/23/2026,Claim moved to next review stage.
NOTE00075,CLM00028,ADJ008,3/14/2026,Payment recommendation prepared.
NOTE00076,CLM00028,ADJ008,3/29/2026,Payment recommendation prepared.
NOTE00077,CLM00028,ADJ008,3/20/2026,Photos and damage details reviewed.
NOTE00078,CLM00029,ADJ006,1/25/2026,Photos and damage details reviewed.
NOTE00079,CLM00029,ADJ006,2/12/2026,Payment recommendation prepared.
NOTE00080,CLM00029,ADJ006,1/25/2026,Claim opened and initial review started.
NOTE00081,CLM00030,ADJ007,1/13/2026,Customer contacted for additional information.
NOTE00082,CLM00031,ADJ007,5/26/2026,Claim opened and initial review started.
NOTE00083,CLM00032,ADJ010,4/29/2026,Coverage verification completed.
NOTE00084,CLM00032,ADJ010,4/27/2026,Photos and damage details reviewed.
