payment_id,claim_id,country,state,payment_date,payment_amount,payment_status,payment_method
PAY00001,CLM00008,Australia,QLD,1/31/2026,17086.81,Issued,Virtual Card
PAY00002,CLM00009,Australia,TAS,3/10/2026,19607.76,Issued,Virtual Card
PAY00003,CLM00013,Australia,NSW,12/18/2025,1033.24,Cleared,Virtual Card
PAY00004,CLM00018,Australia,TAS,4/14/2026,16434.77,Issued,Virtual Card
PAY00005,CLM00020,USA,TX,12/27/2025,14840.35,Issued,Virtual Card
PAY00006,CLM00022,USA,NY,3/14/2026,10846.28,Issued,Virtual Card
PAY00007,CLM00029,Australia,NSW,2/27/2026,1754.21,Issued,ACH
PAY00008,CLM00033,Australia,SA,1/28/2026,2095.69,Cleared,Check
PAY00009,CLM00037,USA,GA,3/31/2026,10494.9,Cleared,ACH
PAY00010,CLM00039,UK,Northern Ireland,5/27/2026,9465.0,Pending,ACH
PAY00011,CLM00045,Australia,TAS,4/25/2026,26471.12,Pending,ACH
PAY00012,CLM00051,UK,Northern Ireland,3/21/2026,20776.94,Issued,Virtual Card
PAY00013,CLM00063,Australia,NSW,2/18/2026,25642.59,Pending,Virtual Card
PAY00014,CLM00065,USA,NY,2/2/2026,5542.97,Cleared,Check
PAY00015,CLM00067,UK,Scotland,2/8/2026,21529.61,Cleared,ACH
PAY00016,CLM00079,Australia,NSW,4/21/2026,10513.07,Pending,ACH
PAY00017,CLM00081,USA,CA,3/8/2026,24750.0,Cleared,ACH
PAY00018,CLM00087,Australia,NSW,1/27/2026,2190.94,Pending,Check
PAY00019,CLM00090,Australia,SA,12/29/2025,4870.64,Cleared,ACH
PAY00020,CLM00098,USA,NY,2/25/2026,13948.72,Pending,ACH
PAY00021,CLM00100,UK,England,2/1/2026,16565.11,Pending,ACH
PAY00022,CLM00104,Australia,NSW,5/6/2026,8500.0,Pending,ACH
PAY00023,CLM00107,Australia,NSW,2026-05-06,10500.0,Pending,ACH
PAY00024,CLM00109,USA,TX,2026-05-06,11500.0,Pending,ACH
