task_id,claim_id,assigned_to,task_type,task_status,due_date
TASK00001,CLM00001,ADJ006,Fraud review,Completed,3/19/2026
TASK00002,CLM00001,ADJ006,Contact customer,Open,3/4/2026
TASK00003,CLM00001,ADJ006,Contact customer,Open,3/24/2026
TASK00004,CLM00002,ADJ001,Verify coverage,In Progress,1/11/2026
TASK00005,CLM00002,ADJ001,Verify coverage,In Progress,1/9/2026
TASK00006,CLM00003,ADJ003,Estimate damages,In Progress,5/12/2026
TASK00007,CLM00003,ADJ003,Review documents,Open,5/11/2026
TASK00008,CLM00004,ADJ011,Estimate damages,Open,1/10/2026
TASK00009,CLM00004,ADJ011,Estimate damages,In Progress,1/4/2026
TASK00010,CLM00004,ADJ011,Estimate damages,Open,1/7/2026
TASK00011,CLM00005,ADJ008,Estimate damages,In Progress,4/26/2026
TASK00012,CLM00005,ADJ008,Review documents,Completed,4/20/2026
TASK00013,CLM00006,ADJ005,Fraud review,Completed,12/16/2025
TASK00014,CLM00007,ADJ007,Fraud review,In Progress,5/7/2026
TASK00015,CLM00008,ADJ007,Estimate damages,Completed,1/23/2026
TASK00016,CLM00008,ADJ007,Approve payment,Open,2/11/2026
TASK00017,CLM00008,ADJ007,Estimate damages,Completed,1/29/2026
TASK00018,CLM00009,ADJ006,Fraud review,In Progress,2/16/2026
TASK00019,CLM00009,ADJ006,Contact customer,In Progress,2/7/2026
TASK00020,CLM00009,ADJ006,Verify coverage,In Progress,2/25/2026
TASK00021,CLM00010,ADJ005,Verify coverage,Completed,5/10/2026
TASK00022,CLM00010,ADJ005,Approve payment,Completed,5/13/2026
TASK00023,CLM00010,ADJ005,Approve payment,Open,4/25/2026
TASK00024,CLM00011,ADJ004,Contact customer,Open,4/24/2026
TASK00025,CLM00011,ADJ004,Contact customer,Open,4/19/2026
TASK00026,CLM00012,ADJ002,Verify coverage,Completed,12/29/2025
TASK00027,CLM00012,ADJ002,Contact customer,Completed,12/20/2025
TASK00028,CLM00013,ADJ008,Review documents,In Progress,12/11/2025
TASK00029,CLM00013,ADJ008,Verify coverage,Open,11/30/2025
TASK00030,CLM00013,ADJ008,Approve payment,In Progress,12/5/2025
TASK00031,CLM00014,ADJ005,Review documents,Completed,2/24/2026
TASK00032,CLM00014,ADJ005,Verify coverage,Completed,3/1/2026
TASK00033,CLM00015,ADJ002,Approve payment,In Progress,12/24/2025
TASK00034,CLM00015,ADJ002,Estimate damages,Open,12/25/2025
TASK00035,CLM00015,ADJ002,Approve payment,Completed,1/8/2026
TASK00036,CLM00016,ADJ007,Verify coverage,Completed,4/16/2026
TASK00037,CLM00017,ADJ001,Review documents,Completed,12/14/2025
TASK00038,CLM00018,ADJ008,Review documents,In Progress,4/9/2026
TASK00039,CLM00018,ADJ008,Estimate damages,Completed,4/8/2026
TASK00040,CLM00019,ADJ012,Verify coverage,Open,2/8/2026
TASK00041,CLM00019,ADJ012,Estimate damages,Open,2/19/2026
TASK00042,CLM00020,ADJ003,Fraud review,Completed,12/30/2025
TASK00043,CLM00020,ADJ003,Verify coverage,In Progress,12/28/2025
TASK00044,CLM00020,ADJ003,Fraud review,Open,12/19/2025
TASK00045,CLM00021,ADJ011,Estimate damages,In Progress,4/8/2026
TASK00046,CLM00021,ADJ011,Verify coverage,In Progress,4/23/2026
TASK00047,CLM00021,ADJ011,Review documents,In Progress,4/5/2026
TASK00048,CLM00022,ADJ010,Fraud review,Completed,2/11/2026
TASK00049,CLM00022,ADJ010,Contact customer,Open,2/17/2026
TASK00050,CLM00023,ADJ007,Estimate damages,In Progress,4/26/2026
TASK00051,CLM00023,ADJ007,Fraud review,In Progress,5/7/2026
TASK00052,CLM00023,ADJ007,Fraud review,Open,4/24/2026
TASK00053,CLM00024,ADJ012,Contact customer,In Progress,4/26/2026
TASK00054,CLM00024,ADJ012,Estimate damages,Completed,4/30/2026
TASK00055,CLM00025,ADJ006,Verify coverage,Completed,6/1/2026
TASK00056,CLM00025,ADJ006,Contact customer,Open,5/16/2026
TASK00057,CLM00026,ADJ001,Approve payment,In Progress,2/28/2026
TASK00058,CLM00026,ADJ001,Approve payment,Completed,2/24/2026
TASK00059,CLM00026,ADJ001,Contact customer,Open,3/22/2026
TASK00060,CLM00027,ADJ008,Verify coverage,Open,1/12/2026
TASK00061,CLM00028,ADJ008,Verify coverage,In Progress,3/30/2026
TASK00062,CLM00028,ADJ008,Contact customer,In Progress,3/19/2026
TASK00063,CLM00029,ADJ006,Approve payment,In Progress,2/11/2026
TASK00064,CLM00029,ADJ006,Verify coverage,Completed,1/22/2026
TASK00065,CLM00030,ADJ007,Review documents,In Progress,1/8/2026
TASK00066,CLM00031,ADJ007,Contact customer,In Progress,5/22/2026
TASK00067,CLM00031,ADJ007,Approve payment,In Progress,5/15/2026
TASK00068,CLM00032,ADJ010,Review documents,Completed,5/23/2026
TASK00069,CLM00033,ADJ007,Verify coverage,In Progress,1/6/2026
TASK00070,CLM00033,ADJ007,Estimate damages,Open,1/11/2026
TASK00071,CLM00033,ADJ007,Approve payment,Open,2/2/2026
TASK00072,CLM00034,ADJ007,Fraud review,Open,4/8/2026
TASK00073,CLM00035,ADJ012,Review documents,Completed,1/20/2026
TASK00074,CLM00036,ADJ008,Verify coverage,Completed,11/22/2025
TASK00075,CLM00036,ADJ008,Estimate damages,Open,12/12/2025
TASK00076,CLM00036,ADJ008,Contact customer,Completed,12/17/2025
TASK00077,CLM00037,ADJ011,Contact customer,In Progress,4/10/2026
TASK00078,CLM00038,ADJ010,Fraud review,Completed,2/9/2026
TASK00079,CLM00038,ADJ010,Review documents,In Progress,2/1/2026
TASK00080,CLM00039,ADJ004,Estimate damages,In Progress,4/24/2026
TASK00081,CLM00039,ADJ004,Estimate damages,In Progress,5/9/2026
TASK00082,CLM00040,ADJ007,Approve payment,In Progress,2/2/2026
TASK00083,CLM00040,ADJ007,Verify coverage,Open,1/31/2026
TASK00084,CLM00040,ADJ007,Fraud review,In Progress,2/1/2026
TASK00085,CLM00041,ADJ007,Approve payment,Completed,5/3/2026
TASK00086,CLM00041,ADJ007,Review documents,Completed,4/27/2026
TASK00087,CLM00041,ADJ007,Estimate damages,Open,5/4/2026
TASK00088,CLM00042,ADJ005,Fraud review,In Progress,12/13/2025
TASK00089,CLM00042,ADJ005,Review documents,In Progress,12/6/2025
TASK00090,CLM00043,ADJ006,Fraud review,In Progress,5/6/2026
TASK00091,CLM00043,ADJ006,Contact customer,Completed,5/24/2026
TASK00092,CLM00043,ADJ006,Contact customer,Open,5/25/2026
TASK00093,CLM00044,ADJ007,Estimate damages,Completed,2/14/2026
TASK00094,CLM00044,ADJ007,Fraud review,Open,2/27/2026
TASK00095,CLM00044,ADJ007,Verify coverage,Completed,2/19/2026
TASK00096,CLM00045,ADJ007,Review documents,In Progress,4/3/2026
TASK00097,CLM00045,ADJ007,Estimate damages,Completed,3/23/2026
TASK00098,CLM00046,ADJ011,Fraud review,Completed,2/9/2026
TASK00099,CLM00046,ADJ011,Contact customer,In Progress,2/6/2026
TASK00100,CLM00046,ADJ011,Fraud review,Open,2/4/2026
TASK00101,CLM00047,ADJ011,Fraud review,In Progress,5/11/2026
TASK00102,CLM00047,ADJ011,Review documents,Completed,4/29/2026
TASK00103,CLM00047,ADJ011,Contact customer,Completed,5/7/2026
TASK00104,CLM00048,ADJ006,Review documents,Open,2/24/2026
TASK00105,CLM00049,ADJ007,Fraud review,In Progress,1/21/2026
TASK00106,CLM00050,ADJ006,Contact customer,Completed,5/12/2026
TASK00107,CLM00050,ADJ006,Fraud review,Open,5/9/2026
TASK00108,CLM00050,ADJ006,Review documents,Open,5/25/2026
TASK00109,CLM00051,ADJ004,Estimate damages,In Progress,3/1/2026
